,date,county,weekly_cases,weekly_deaths,prev_value,cases_wow,cases_wow2,deaths_wow,deaths_wow2,cases_4w_trend,deaths_4w_trend
0,2020-03-14,Albany County,,,,0.0,no change,0.0,no change,,
1,2020-03-21,Albany County,83.0,0.0,,0.0,no change,0.0,no change,,
2,2020-03-28,Albany County,107.0,1.0,0.0,0.2891566265060241,5% to 50%,110.0,100%+,,
3,2020-04-04,Albany County,98.0,5.0,1.0,-0.08411214953271028,-50% to -5%,4.0,100%+,,
4,2020-04-11,Albany County,153.0,10.0,5.0,0.5612244897959183,50% to 100%,1.0,50% to 100%,20.099999999999994,3.3999999999999995
5,2020-04-18,Albany County,202.0,10.0,10.0,0.3202614379084967,5% to 50%,0.0,no change,33.99999999999999,3.2
6,2020-04-25,Albany County,251.0,17.0,10.0,0.24257425742574257,5% to 50%,0.7,50% to 100%,50.79999999999999,3.5999999999999988
7,2020-05-02,Albany County,339.0,17.0,17.0,0.350597609561753,5% to 50%,0.0,no change,60.7,2.8
8,2020-05-09,Albany County,178.0,47.0,17.0,-0.4749262536873156,-50% to -5%,1.7647058823529411,100%+,1.599999999999998,11.1
9,2020-05-16,Albany County,156.0,20.0,47.0,-0.12359550561797752,-50% to -5%,-0.574468085106383,-100% to -50%,-44.599999999999994,3.8999999999999995
10,2020-05-23,Albany County,198.0,11.0,20.0,0.2692307692307692,5% to 50%,-0.45,-50% to -5%,-44.49999999999999,-4.5
11,2020-05-30,Albany County,73.0,4.0,11.0,-0.6313131313131313,-100% to -50%,-0.6363636363636364,-100% to -50%,-27.29999999999999,-13.799999999999995
12,2020-06-06,Albany County,110.0,4.0,4.0,0.5068493150684932,50% to 100%,0.0,no change,-26.299999999999994,-5.499999999999999
13,2020-06-13,Albany County,63.0,6.0,4.0,-0.42727272727272725,-50% to -5%,0.5,5% to 50%,-36.79999999999998,-1.4999999999999993
14,2020-06-20,Albany County,37.0,5.0,6.0,-0.4126984126984127,-50% to -5%,-0.16666666666666666,-50% to -5%,-15.499999999999998,0.49999999999999983
15,2020-06-27,Albany County,38.0,2.0,5.0,0.02702702702702703,no change,-0.6,-100% to -50%,-24.199999999999996,-0.6999999999999998
16,2020-03-21,Allegany County,,,,0.0,no change,0.0,no change,,
17,2020-03-28,Allegany County,0.0,0.0,,0.0,no change,0.0,no change,,
18,2020-04-04,Allegany County,14.0,1.0,0.0,100.0,100%+,110.0,100%+,,
19,2020-04-11,Allegany County,10.0,0.0,1.0,-0.2857142857142857,-50% to -5%,-1.0,,,
20,2020-04-18,Allegany County,4.0,0.0,0.0,-0.6,-100% to -50%,0.0,no change,0.7999999999999998,-0.09999999999999998
21,2020-04-25,Allegany County,5.0,0.0,0.0,0.25,5% to 50%,0.0,no change,-3.3,-0.29999999999999993
22,2020-05-02,Allegany County,0.0,0.0,0.0,-1.0,,0.0,no change,-2.9000000000000004,0.0
23,2020-05-09,Allegany County,0.0,0.0,0.0,0.0,no change,0.0,no change,-1.6999999999999997,0.0
24,2020-05-16,Allegany County,9.0,0.0,0.0,100.0,100%+,0.0,no change,1.1999999999999997,0.0
25,2020-05-23,Allegany County,0.0,0.0,0.0,-1.0,,0.0,no change,0.8999999999999996,0.0
26,2020-05-30,Allegany County,1.0,0.0,0.0,100.0,100%+,0.0,no change,-0.5999999999999996,0.0
27,2020-06-06,Allegany County,6.0,0.0,0.0,5.0,100%+,0.0,no change,-0.7999999999999995,0.0
28,2020-06-13,Allegany County,3.0,0.0,0.0,-0.5,-100% to -50%,0.0,no change,1.4,0.0
29,2020-06-20,Allegany County,4.0,0.0,0.0,0.3333333333333333,5% to 50%,0.0,no change,0.5999999999999999,0.0
30,2020-06-27,Allegany County,0.0,0.0,0.0,-1.0,,0.0,no change,-1.6999999999999995,0.0
31,2020-03-14,Broome County,,,,0.0,no change,0.0,no change,,
32,2020-03-21,Broome County,1.0,1.0,,0.0,no change,0.0,no change,,
33,2020-03-28,Broome County,21.0,2.0,1.0,20.0,100%+,1.0,50% to 100%,,
34,2020-04-04,Broome County,42.0,1.0,2.0,1.0,50% to 100%,-0.5,-100% to -50%,,
35,2020-04-11,Broome County,52.0,2.0,1.0,0.23809523809523808,5% to 50%,1.0,50% to 100%,17.400000000000002,0.19999999999999996
36,2020-04-18,Broome County,69.0,0.0,2.0,0.3269230769230769,5% to 50%,-1.0,,15.399999999999997,-0.5
37,2020-04-25,Broome County,65.0,7.0,0.0,-0.057971014492753624,-50% to -5%,110.0,100%+,8.6,1.5999999999999996
38,2020-05-02,Broome County,54.0,5.0,7.0,-0.16923076923076924,-50% to -5%,-0.2857142857142857,-50% to -5%,0.20000000000000095,1.5999999999999996
39,2020-05-09,Broome County,67.0,7.0,5.0,0.24074074074074073,5% to 50%,0.4,5% to 50%,-1.6999999999999995,1.8999999999999995
40,2020-05-16,Broome County,41.0,7.0,7.0,-0.3880597014925373,-50% to -5%,0.0,no change,-5.899999999999998,0.19999999999999996
41,2020-05-23,Broome County,72.0,9.0,7.0,0.7560975609756098,50% to 100%,0.2857142857142857,5% to 50%,2.8,1.1999999999999997
42,2020-05-30,Broome County,76.0,9.0,9.0,0.05555555555555555,5% to 50%,0.0,no change,5.799999999999998,0.7999999999999998
43,2020-06-06,Broome County,52.0,4.0,9.0,-0.3157894736842105,-50% to -5%,-0.5555555555555556,-100% to -50%,3.7,-0.8999999999999996
44,2020-06-13,Broome County,34.0,5.0,4.0,-0.34615384615384615,-50% to -5%,0.25,5% to 50%,-13.799999999999995,-1.6999999999999997
45,2020-06-20,Broome County,18.0,0.0,5.0,-0.47058823529411764,-50% to -5%,-1.0,,-19.199999999999996,-2.5999999999999996
46,2020-06-27,Broome County,36.0,2.0,0.0,1.0,50% to 100%,110.0,100%+,-6.4,-1.1
47,2020-03-28,Cattaraugus County,,,,0.0,no change,0.0,no change,,
48,2020-04-04,Cattaraugus County,7.0,0.0,,0.0,no change,0.0,no change,,
49,2020-04-11,Cattaraugus County,11.0,0.0,0.0,0.5714285714285714,50% to 100%,0.0,no change,,
50,2020-04-18,Cattaraugus County,15.0,0.0,0.0,0.36363636363636365,5% to 50%,0.0,no change,,
51,2020-04-25,Cattaraugus County,11.0,1.0,0.0,-0.26666666666666666,-50% to -5%,110.0,100%+,1.5999999999999996,0.29999999999999993
52,2020-05-02,Cattaraugus County,5.0,0.0,1.0,-0.5454545454545454,-100% to -50%,-1.0,,-2.1999999999999993,0.09999999999999998
53,2020-05-09,Cattaraugus County,10.0,0.0,0.0,1.0,50% to 100%,0.0,no change,-2.1000000000000005,-0.09999999999999998
54,2020-05-16,Cattaraugus County,5.0,0.0,0.0,-0.5,-100% to -50%,0.0,no change,-1.2999999999999994,-0.29999999999999993
55,2020-05-23,Cattaraugus County,13.0,0.0,0.0,1.6,100%+,0.0,no change,1.9,0.0
56,2020-05-30,Cattaraugus County,9.0,1.0,0.0,-0.3076923076923077,-50% to -5%,110.0,100%+,0.4999999999999999,0.29999999999999993
57,2020-06-06,Cattaraugus County,5.0,2.0,1.0,-0.4444444444444444,-50% to -5%,1.0,50% to 100%,-0.3999999999999999,0.6999999999999997
58,2020-06-13,Cattaraugus County,9.0,1.0,2.0,0.8,50% to 100%,-0.5,-100% to -50%,-1.5999999999999996,0.3999999999999999
59,2020-06-20,Cattaraugus County,12.0,0.0,1.0,0.3333333333333333,5% to 50%,-1.0,,1.2999999999999996,-0.3999999999999999
60,2020-06-27,Cattaraugus County,10.0,0.0,0.0,-0.16666666666666666,-50% to -5%,0.0,no change,1.7999999999999992,-0.7
61,2020-03-28,Cayuga County,,,,0.0,no change,0.0,no change,,
62,2020-04-04,Cayuga County,6.0,0.0,,0.0,no change,0.0,no change,,
63,2020-04-11,Cayuga County,20.0,1.0,0.0,2.3333333333333335,100%+,110.0,100%+,,
64,2020-04-18,Cayuga County,8.0,0.0,1.0,-0.6,-100% to -50%,-1.0,,,
65,2020-04-25,Cayuga County,11.0,0.0,0.0,0.375,5% to 50%,0.0,no change,0.30000000000000027,-0.09999999999999998
66,2020-05-02,Cayuga County,4.0,0.0,0.0,-0.6363636363636364,-100% to -50%,0.0,no change,-4.499999999999997,-0.29999999999999993
67,2020-05-09,Cayuga County,2.0,0.0,0.0,-0.5,-100% to -50%,0.0,no change,-2.4999999999999996,0.0
68,2020-05-16,Cayuga County,10.0,0.0,0.0,4.0,100%+,0.0,no change,-0.5,0.0
69,2020-05-23,Cayuga County,13.0,0.0,0.0,0.3,5% to 50%,0.0,no change,3.499999999999999,0.0
70,2020-05-30,Cayuga County,14.0,0.0,0.0,0.07692307692307693,5% to 50%,0.0,no change,3.8999999999999995,0.0
71,2020-06-06,Cayuga County,10.0,0.0,0.0,-0.2857142857142857,-50% to -5%,0.0,no change,0.09999999999999998,0.0
72,2020-06-13,Cayuga County,3.0,0.0,0.0,-0.7,-100% to -50%,0.0,no change,-3.3999999999999995,0.0
73,2020-06-20,Cayuga County,5.0,0.0,0.0,0.6666666666666666,50% to 100%,0.0,no change,-3.399999999999999,0.0
74,2020-06-27,Cayuga County,3.0,0.0,0.0,-0.4,-50% to -5%,0.0,no change,-1.8999999999999995,0.0
75,2020-03-28,Chautauqua County,,,,0.0,no change,0.0,no change,,
76,2020-04-04,Chautauqua County,7.0,1.0,,0.0,no change,0.0,no change,,
77,2020-04-11,Chautauqua County,9.0,0.0,1.0,0.2857142857142857,5% to 50%,-1.0,,,
78,2020-04-18,Chautauqua County,4.0,0.0,0.0,-0.5555555555555556,-100% to -50%,0.0,no change,,
