,date,county,weekly_cases,weekly_deaths,prev_value,cases_wow,cases_wow2,deaths_wow,deaths_wow2,cases_4w_trend,deaths_4w_trend
15,2020-06-27,Albany County,38.0,2.0,5.0,0.02702702702702703,no change,-0.6,-100% to -50%,-24.199999999999996,-0.6999999999999998
30,2020-06-27,Allegany County,0.0,0.0,0.0,-1.0,,0.0,no change,-1.6999999999999995,0.0
46,2020-06-27,Broome County,36.0,2.0,0.0,1.0,50% to 100%,110.0,100%+,-6.4,-1.1
60,2020-06-27,Cattaraugus County,10.0,0.0,0.0,-0.16666666666666666,-50% to -5%,0.0,no change,1.7999999999999992,-0.7
74,2020-06-27,Cayuga County,3.0,0.0,0.0,-0.4,-50% to -5%,0.0,no change,-1.8999999999999995,0.0
88,2020-06-27,Chautauqua County,8.0,0.0,0.0,-0.1111111111111111,-50% to -5%,0.0,no change,-2.1999999999999993,-0.29999999999999993
102,2020-06-27,Chemung County,0.0,0.0,0.0,-1.0,,0.0,no change,-2.482534153247273e-17,0.0
117,2020-06-27,Chenango County,7.0,0.0,0.0,6.0,100%+,0.0,no change,1.4,-0.09999999999999998
132,2020-06-27,Clinton County,1.0,0.0,0.0,-0.5,-100% to -50%,0.0,no change,-0.19999999999999996,0.0
147,2020-06-27,Columbia County,10.0,0.0,1.0,-0.5,-100% to -50%,-1.0,,-5.6,-0.7999999999999998
161,2020-06-27,Cortland County,0.0,0.0,0.0,-1.0,,0.0,no change,0.09999999999999994,0.0
177,2020-06-27,Delaware County,1.0,0.0,0.0,-0.5,-100% to -50%,0.0,no change,-1.5999999999999996,0.0
193,2020-06-27,Dutchess County,64.0,0.0,4.0,-0.1794871794871795,-50% to -5%,-1.0,,-7.199999999999999,-0.5
209,2020-06-27,Erie County,226.0,6.0,15.0,-0.004405286343612335,no change,-0.6,-100% to -50%,-66.39999999999999,-7.099999999999998
224,2020-06-27,Essex County,1.0,0.0,0.0,0.0,no change,0.0,no change,-0.3999999999999999,0.0
238,2020-06-27,Franklin County,2.0,0.0,0.0,0.0,no change,0.0,no change,0.29999999999999993,0.0
253,2020-06-27,Fulton County,6.0,0.0,0.0,-0.45454545454545453,-50% to -5%,0.0,no change,-2.5999999999999996,-1.4
268,2020-06-27,Genesee County,15.0,0.0,0.0,0.5,5% to 50%,0.0,no change,3.0999999999999996,-0.29999999999999993
283,2020-06-27,Greene County,5.0,0.0,0.0,0.0,no change,0.0,no change,-0.7999999999999998,0.0
298,2020-06-27,Hamilton County,0.0,0.0,0.0,-1.0,,0.0,no change,0.09999999999999998,0.0
314,2020-06-27,Herkimer County,20.0,0.0,0.0,2.3333333333333335,100%+,0.0,no change,1.5000000000000002,0.0
329,2020-06-27,Jefferson County,2.0,0.0,0.0,0.0,no change,0.0,no change,-0.09999999999999988,0.0
342,2020-06-27,Lewis County,4.0,0.0,0.0,1.0,50% to 100%,0.0,no change,1.3999999999999995,0.0
357,2020-06-27,Livingston County,3.0,0.0,0.0,2.0,100%+,0.0,no change,4.965068306494546e-17,0.0
371,2020-06-27,Madison County,8.0,0.0,0.0,-0.2,-50% to -5%,0.0,no change,-1.5999999999999996,0.0
387,2020-06-27,Monroe County,189.0,7.0,8.0,0.2857142857142857,5% to 50%,-0.125,-50% to -5%,-23.299999999999997,-2.8
402,2020-06-27,Montgomery County,10.0,0.0,0.0,2.3333333333333335,100%+,0.0,no change,0.09999999999999988,-0.29999999999999993
419,2020-06-27,Nassau County,282.0,11.0,12.0,0.04059040590405904,no change,-0.08333333333333333,-50% to -5%,-84.0,-4.799999999999999
436,2020-06-27,New York County,2373.0,197.0,168.0,-0.07593457943925233,-50% to -5%,0.17261904761904762,5% to 50%,-457.4999999999999,-41.1
451,2020-06-27,Niagara County,35.0,1.0,2.0,0.029411764705882353,no change,-0.5,-100% to -50%,-17.299999999999994,-1.4999999999999996
466,2020-06-27,Oneida County,169.0,5.0,9.0,0.352,5% to 50%,-0.4444444444444444,-50% to -5%,14.299999999999999,-1.9999999999999996
481,2020-06-27,Onondaga County,147.0,5.0,11.0,0.00684931506849315,no change,-0.5454545454545454,-100% to -50%,-26.199999999999985,-4.3
496,2020-06-27,Ontario County,15.0,2.0,1.0,0.6666666666666666,50% to 100%,1.0,50% to 100%,0.19999999999999996,-0.3999999999999999
512,2020-06-27,Orange County,72.0,4.0,4.0,-0.04,no change,0.0,no change,-12.100000000000001,-2.0999999999999996
526,2020-06-27,Orleans County,5.0,3.0,1.0,-0.6428571428571429,-100% to -50%,2.0,100%+,-5.599999999999998,-0.5999999999999999
540,2020-06-27,Oswego County,25.0,0.0,0.0,-0.46808510638297873,-50% to -5%,0.0,no change,9.599999999999998,0.0
554,2020-06-27,Otsego County,2.0,0.0,0.0,0.0,no change,0.0,no change,-0.6999999999999998,0.0
569,2020-06-27,Putnam County,18.0,1.0,0.0,0.125,5% to 50%,110.0,100%+,-1.8999999999999988,0.29999999999999993
584,2020-06-27,Rensselaer County,29.0,0.0,3.0,1.9,100%+,-1.0,,4.599999999999998,0.10000000000000007
601,2020-06-27,Rockland County,71.0,0.0,3.0,-0.15476190476190477,-50% to -5%,-1.0,,-35.99999999999999,-2.1999999999999993
615,2020-06-27,St. Lawrence County,2.0,0.0,0.0,0.0,no change,0.0,no change,-1.7999999999999998,-0.09999999999999998
632,2020-06-27,Saratoga County,15.0,0.0,0.0,-0.11764705882352941,-50% to -5%,0.0,no change,-2.3,-0.09999999999999998
648,2020-06-27,Schenectady County,37.0,2.0,0.0,0.4230769230769231,5% to 50%,110.0,100%+,5.199999999999999,4.965068306494546e-17
663,2020-06-27,Schoharie County,1.0,0.0,0.0,-0.5,-100% to -50%,0.0,no change,-0.6999999999999997,0.0
677,2020-06-27,Schuyler County,0.0,0.0,0.0,0.0,no change,0.0,no change,-0.29999999999999993,0.0
690,2020-06-27,Seneca County,5.0,0.0,0.0,4.0,100%+,0.0,no change,0.5,0.0
705,2020-06-27,Steuben County,3.0,0.0,0.0,-0.5,-100% to -50%,0.0,no change,-1.8999999999999995,-0.29999999999999993
721,2020-06-27,Suffolk County,345.0,13.0,16.0,0.17747440273037543,5% to 50%,-0.1875,-50% to -5%,-124.69999999999997,-5.799999999999999
736,2020-06-27,Sullivan County,16.0,0.0,0.0,2.2,100%+,0.0,no change,-7.399999999999998,-0.8999999999999999
752,2020-06-27,Tioga County,2.0,0.0,0.0,-0.3333333333333333,-50% to -5%,0.0,no change,-1.1999999999999997,-0.29999999999999993
768,2020-06-27,Tompkins County,1.0,0.0,0.0,0.0,no change,0.0,no change,-2.8,0.0
784,2020-06-27,Ulster County,23.0,0.0,2.0,1.0909090909090908,100%+,-1.0,,-5.299999999999998,0.19999999999999996
799,2020-06-27,Warren County,2.0,0.0,0.0,-0.5,-100% to -50%,0.0,no change,0.3999999999999999,-0.5999999999999999
814,2020-06-27,Washington County,1.0,0.0,0.0,-0.5,-100% to -50%,0.0,no change,-1.1999999999999997,0.0
829,2020-06-27,Wayne County,18.0,0.0,0.0,0.5,5% to 50%,0.0,no change,2.799999999999999,0.0
846,2020-06-27,Westchester County,262.0,8.0,9.0,0.12446351931330472,5% to 50%,-0.1111111111111111,-50% to -5%,-79.49999999999997,-7.199999999999999
861,2020-06-27,Wyoming County,2.0,0.0,0.0,0.0,no change,0.0,no change,-0.8999999999999999,0.0
874,2020-06-27,Yates County,4.0,0.0,0.0,1.0,50% to 100%,0.0,no change,1.3999999999999995,0.0
