feature	importance
recency_x	0.23913318607774778
tenure_days_x	0.08374313645874172
visit_freq_61_120d_x	0.0802111672432626
local_orders_t24m_x	0.06454517583796925
visit_freq_121_180d_x	0.04304185100839341
visit_recency_x	0.03706906656232115
frequency_t12m_x	0.034211574495054374
visit_freq_29_60d_x	0.032516148544303125
open_recency_x	0.03126066792271327
retail_inv_csi_x	0.0244853662146306
recency_9block_cat_x_3_Low_Rec_121_365_Days_	0.02366991387967438
select_flag_x	0.020012011215758376
visit_freq_7d_x	0.01973494245052046
appengaged_flag90d_x	0.017956818171326352
most_recent_l1_cat_x_L1_Local	0.016299645656387418
click_recency_x	0.013715188152382526
unique_purchase_quarters_t24m_x	0.012791781275021457
recency_9block_cat_x_2_Med_Rec_31_120_Days_	0.012637367392039509
visit_freq_181_365d_x	0.01222847849178209
shopping_orders_t24m_x	0.011619708891635126
frequency_t24m_x	0.01042772211735213
nob_t12m_x	0.009560891507888062
uniq_3day_clicks_30d_x	0.009467453711352505
uniq_3day_opens_30d_x	0.0092621999520948
sends_30d_x	0.008903464542036109
most_recent_l2_cat_x_L2_Things_to_Do_Live	0.008805783209219433
send_recency_x	0.008484105364453896
gp_t24m_x	0.0074961503237334455
gp_t12m_x	0.006922991008622796
sends_7d_x	0.0068422544641463445
visit_freq_15_28d_x	0.005718705160260107
most_recent_l2_cat_x_L2_Home_Auto	0.0049398357240826
total_inv_csi_x	0.004759455118600296
visit_freq_8_14d_x	0.004448477552812178
is_reactivation_x	0.004405507018963487
most_recent_l2_cat_x_L2_Health_Beauty_Wellness	0.004327371564863848
mobile_contactable_x	0.003339179575727814
age_x	0.002853217376863301
most_recent_l2_cat_x_L2_Hardlines	0.002802804283099529
most_recent_l2_cat_x_L2_Retail	0.0024371744240879022
ttd_inv_csi_x	0.0019962385683074415
unsubscription_30d_x	0.0019670889216019385
frequency_9block_cat_x_1_Low_Freq_1_Order_	0.0018753996007239136
most_recent_l2_cat_x_L2_Home	0.0018680088494782445
fnd_inv_csi_x	0.0016757246846531967
email_contactable_x	0.0012018993821010804
most_recent_l1_cat_x_L1_Shopping	0.0010973584522574718
hbw_inv_csi_x	0.0007725637754742399
nob_t24m_x	0.000556347907698235
uniq_3day_opens_7d_x	0.0005433535165214656
touchengaged_flag90d_x	0.00047333771770665365
uniq_3day_clicks_7d_x	0.0004669533679136369
hna_inv_csi_x	0.0004605474889286686
web_orders_t24m_x	0.0003819421708805072
recency_9block_cat_x_1_High_Rec_0_30_Days_	0.0003705939676873751
most_recent_l2_cat_x_L2_Hotel	0.0002571315819564422
webengaged_flag90d_x	0.0002151681526967365
most_recent_platform_cat_x_app	0.0001868659729346869
gplus_flag_x	0.0001422933724545721
is_activation_x	1.2829539628779992e-05
travel_orders_t24m_x	0.0
app_orders_t24m_x	0.0
touch_orders_t24m_x	0.0
charity_inv_csi_x	0.0
student_flag_x	0.0
frequency_9block_cat_x_2_Med_Freq_2_4_Orders_	0.0
frequency_9block_cat_x_3_High_Freq_5_Orders_	0.0
most_recent_l1_cat_x_L1_Travel	0.0
most_recent_l2_cat_x_L2_Things_to_Do_Leisure	0.0
most_recent_l2_cat_x_L2_Food_Drink	0.0
most_recent_l2_cat_x_L2_Health_Beauty_Grocery	0.0
most_recent_l2_cat_x_L2_Softlines	0.0
most_recent_l2_cat_x_L2_Tech_Toys	0.0
most_recent_l2_cat_x_L2_Tour	0.0
most_recent_l2_cat_x_Other	0.0
most_recent_promo_type_cat_x_Organic	0.0
most_recent_platform_cat_x_web	0.0
most_recent_platform_cat_x_touch	0.0
most_recent_platform_cat_x_other	0.0
gender_cat_x_F	0.0
gender_cat_x_M	0.0
gender_cat_x_U	0.0
marital_status_cat_x_1M	0.0
