cutoff	tp	fp	tpr	fpr	precision
0.0	1900619	1063712	1.0	1.0	0.6411628795839601
0.01	1900583	1057172	0.9999810588024217	0.9938517192623567	0.6425762106732978
0.02	1900437	1049183	0.9999042417233543	0.9863412277007311	0.6442989266413979
0.03	1900072	1035400	0.9997121990256859	0.9733837730513523	0.6472798922967073
0.04	1899972	1032568	0.9996595845879684	0.9707213982732168	0.647892952866798
0.05	1899449	1021529	0.9993844110787065	0.9603435892422009	0.6502784341408939
0.06	1898545	1004419	0.9989087765617412	0.944258408290966	0.6540022542477275
0.07	1897761	993454	0.9984962793700368	0.9339501669624861	0.6563887500583665
0.08	1896659	980602	0.9979164682663911	0.9218679492193376	0.6591890690486543
0.09	1896193	974869	0.997671284986628	0.9164783324809723	0.6604500355617539
0.1	1894579	958847	0.9968220879618692	0.9014159847778346	0.6639664038948268
0.12	1892501	942239	0.9957287599461018	0.8858027360789387	0.6676100806423164
0.13	1891137	932208	0.9950110990156364	0.876372551968954	0.6698214352124873
0.14	1890003	924294	0.9944144512919212	0.8689325682139526	0.671571976944864
0.15	1888210	912838	0.9934710744236483	0.8581627357781053	0.6741084051397905
0.16	1884889	894687	0.9917237489470536	0.8410989064709244	0.6781210515560646
0.17	1882762	884034	0.9906046398568046	0.8310839776180019	0.6804845749379427
0.18	1880796	874782	0.9895702400112806	0.8223861345928222	0.6825413760742756
0.19	1878240	863908	0.9882254149832239	0.8121634427363797	0.6849520886545876
0.2	1873613	845957	0.9857909449500399	0.7952876342468638	0.6889372216931353
0.21	1871549	838120	0.9847049829555529	0.7879200385066635	0.6906928484623029
0.22	1870100	832871	0.9839425997530278	0.7829854321470473	0.6918683182320491
0.23	1864089	812163	0.9807799459018351	0.7635177566860203	0.6965296989969555
0.24	1859845	798085	0.9785469891651088	0.7502829713305857	0.6997343797616943
0.25	1854536	781659	0.9757536886666923	0.7348408215757649	0.7034896887369865
0.26	1854260	780889	0.9756084728185923	0.7341169414277549	0.703664195079671
0.27	1846013	757450	0.9712693601400386	0.7120818417015132	0.7090605858427794
0.28	1843665	751315	0.9700339731424341	0.7063143031196414	0.7104736838048848
0.29	1836970	734356	0.9665114365372545	0.6903710778857435	0.7144057190725719
0.3	1831788	722189	0.9637849563747389	0.6789328314430974	0.7172296383248558
0.31	1829517	716943	0.9625900824941769	0.6740010453957462	0.7184550316910535
0.32	1822624	701950	0.9589633693023167	0.6599060647994947	0.7219530899074458
0.33	1816753	689713	0.9558743756639284	0.6484020110706658	0.7248265087178521
0.34	1806363	669443	0.950407735585091	0.6293461012003249	0.7296060353678762
0.35	1799068	656003	0.9465695123536069	0.6167111022532414	0.7327967297076133
0.36	1789842	639147	0.9417153043297999	0.600864707740441	0.7368670669154944
0.37	1787057	634231	0.9402499922393704	0.596243156042237	0.7380604868152818
0.38	1779372	621122	0.9362065727007886	0.583919331548389	0.7412524255424092
0.39	1763496	595607	0.9278535045687747	0.5599325757347854	0.7475281918593635
0.4	1761653	592927	0.9268838204816431	0.5574130967780753	0.748181416643308
0.41	1741164	562843	0.9161036483377257	0.5291310053849162	0.7557112456689584
0.42	1737045	556936	0.9139364596481462	0.5235778105351825	0.7572185645827058
0.43	1732250	550198	0.911413597359597	0.5172433891880509	0.7589439058414474
0.44	1719962	533978	0.9049483352528834	0.501994900875425	0.7630912979050019
0.45	1714659	527180	0.9021581916207299	0.4956040732829939	0.764844843898246
0.46	1700293	509810	0.8945996014982487	0.4792744652687946	0.7693274928815534
0.47	1683778	490992	0.8859103271092207	0.4615835865347011	0.774232677478538
0.48	1671358	477479	0.8793756139447201	0.44887995998917	0.7777965476208758
0.49	1661781	467802	0.8743367292445251	0.43978257272645227	0.7803316423919613
0.5	1648345	453914	0.8672674533928157	0.4267264071477994	0.7840827414700091
0.51	1638408	444261	0.8620391567168381	0.4176515823832015	0.7866866986544669
0.52	1634861	440940	0.860172922611002	0.4145294967058753	0.7875807941127304
0.53	1615349	423122	0.8499067935235837	0.3977787220601065	0.7924316804114456
0.54	1598215	408314	0.840891835765085	0.38385766072019495	0.7965073019129053
0.55	1560823	376878	0.8212182452137962	0.35430454859962096	0.8055025001277287
0.56	1545648	364794	0.8132340042901812	0.34294433079630576	0.8090525647991407
0.57	1534283	356092	0.8072543734435992	0.33476354501970457	0.811628909607882
0.58	1507947	336543	0.7933978351263457	0.31638545019704584	0.8175414342175886
0.59	1491356	324590	0.7846685737646525	0.30514838602930117	0.821255698131993
0.6	1472922	311847	0.7749696283158276	0.29316863963178	0.825273186614066
0.61	1458645	302609	0.7674578650429149	0.2844839580638368	0.8281854860230268
0.62	1445980	294714	0.7607942465060067	0.27706183628651365	0.8306916666570919
0.63	1411439	274172	0.7426206935740409	0.2577502181041485	0.8373456271939373
0.64	1408111	272196	0.740869685086806	0.25589257242561897	0.838008173506389
0.65	1377413	254989	0.7247181049963196	0.23971620137781655	0.843795217109511
0.66	1356829	244289	0.7138879491365707	0.2296570876327427	0.8474259860922181
0.67	1334691	233111	0.7022401649146935	0.21914860413344966	0.8513134949438769
0.68	1314540	223475	0.6916378295702611	0.21008976113835323	0.8546990764069271
0.69	1283141	208943	0.6751174222713758	0.1964281685268193	0.8599656587698816
0.7	1252008	195544	0.6587369693768188	0.1838317138473572	0.864914006543461
0.71	1241123	190967	0.6530098878312802	0.17952885743509522	0.8666515372637195
0.72	1208742	177917	0.6359728067540101	0.1672604990824584	0.8716937617683944
0.73	1166057	161807	0.6135143340143395	0.15211542221954816	0.8781449003813644
0.74	1130299	149426	0.594700463375353	0.14047599350200055	0.8832358514524605
0.75	1124821	147527	0.591818244477194	0.13869073583827202	0.8840513758814412
0.76	1084694	134236	0.5707056490543344	0.12619581240034897	0.8898739058026301
0.77	1048627	123397	0.5517291998028011	0.11600602418699799	0.8947146133526276
0.78	1021434	115685	0.5374217557543095	0.1087559414578382	0.8982648254052567
0.79	989112	106650	0.5204157171952927	0.10026210101982491	0.9026704704123706
0.8	951514	96910	0.5006337409023061	0.09110548719954273	0.9075660229067629
0.81	908662	86797	0.4780874020516474	0.08159821455431546	0.9128070568451337
0.82	884108	81199	0.4651684530145179	0.07633551186787402	0.9158827191763864
0.83	830919	69763	0.437183359737012	0.0655844815137932	0.9225442498018168
0.84	811572	66125	0.4270040444718273	0.062164382840468095	0.9246607884041987
0.85	785157	61314	0.4131059407487771	0.05764154207153816	0.9275651498988152
0.86	752566	55811	0.3959583693523005	0.05246814927348756	0.9309591935445961
0.87	707519	48788	0.372257143593745	0.04586579826118348	0.9354918042540926
0.88	673187	43827	0.35419355483660847	0.04120194187900484	0.9388756704890002
0.89	596529	33784	0.31386037917120685	0.03176047651996029	0.9464012324035836
0.9	553192	28697	0.29105886029761885	0.02697816702265275	0.9506830340494493
0.91	500825	23318	0.2635062576981499	0.021921347131554407	0.9555121407707439
0.92	471989	20563	0.24833435843796153	0.01933136036821997	0.9582521236336468
0.93	394675	14548	0.20765603206113376	0.013676634276947144	0.9644497010187599
0.94	345872	11272	0.18197860802191287	0.01059685328359556	0.9684385009967968
0.95	289917	7971	0.15253819939714378	0.0074935696880358595	0.9732416210119239
0.96	241049	5698	0.12682657597340655	0.0053567130952739085	0.9769075206588125
0.97	155095	2569	0.08160236217779576	0.0024151274029060497	0.9837058554901563
0.98	112754	1402	0.059324883103873	0.0013180259318311723	0.9877185605662426
0.99	56729	418	0.029847644372701737	0.0003929635089197076	0.9926855302990533
1.0	24523	113	0.01290263856143709	0.00010623176198068651	0.9954132164312388
