cutoff	tp	fp	tpr	fpr	precision
0.0	1896471	1084485	1.0	1.0	0.636195569475
0.28	1876205	1029459	0.989313836067	0.949260709	0.645706110548
0.29	1871298	1018161	0.986726398664	0.938842860897	0.64762919287
0.3	1866317	1007372	0.984099941418	0.928894359996	0.649449888279
0.32	1859089	992569	0.980288651922	0.915244563088	0.651932665137
0.33	1839395	949573	0.969904100827	0.875598094948	0.659525315457
0.34	1808692	888553	0.953714557196	0.819331756548	0.670570155844
0.37	1775164	830341	0.936035404707	0.765654665579	0.681312835707
0.39	1765505	815591	0.930942260651	0.752053739794	0.684013690308
0.4	1735979	770081	0.915373343436	0.710089120643	0.692712464985
0.42	1700406	720140	0.896615872323	0.664038691176	0.702488612073
0.43	1695750	714276	0.894160786007	0.658631516342	0.703623114439
0.45	1651131	659089	0.870633402778	0.607743767779	0.714707257317
0.47	1611629	613747	0.849804188938	0.565934060868	0.724205257898
0.48	1595319	595642	0.841204004701	0.549239500777	0.728136648713
0.49	1568785	567233	0.827212754637	0.523043656667	0.734443717235
0.5	1542465	541108	0.81333434574	0.498953881335	0.740298036114
0.51	1519579	519009	0.801266668459	0.478576467171	0.745407605656
0.54	1474412	479887	0.777450327477	0.442502201506	0.75444545589
0.57	1415339	433985	0.746301419848	0.400176120463	0.76532776301
0.59	1365512	398379	0.720027883369	0.367343946666	0.774147608894
0.61	1305976	359684	0.688634838076	0.331663416276	0.78405917174
0.62	1295843	353663	0.683291756109	0.326111472266	0.7855945962
0.63	1254125	328421	0.661294056171	0.302835908288	0.792473015002
0.64	1203937	299477	0.634830166135	0.276146742463	0.800802041221
0.65	1191675	292979	0.62836447275	0.270154958344	0.802661764963
0.66	1134377	263075	0.598151514049	0.242580579722	0.811746664644
0.68	1078473	235884	0.568673604817	0.217507849348	0.820532777624
0.7	1005603	203715	0.530249605715	0.187844921783	0.831545548813
0.72	938413	177423	0.494820643184	0.163601156309	0.840995450944
0.73	919984	166811	0.48510312048	0.153815866517	0.846511071545
0.74	846481	142232	0.446345343535	0.131151652628	0.856144300722
0.75	806439	128911	0.425231390303	0.118868402975	0.862178863527
0.76	791710	124310	0.417464859732	0.114625836226	0.86429335604
0.77	726309	104355	0.382979228261	0.0962253973084	0.874371587068
0.79	656762	85864	0.346307431013	0.0791749079056	0.884377869883
0.8	651550	84508	0.343559168582	0.07792454483	0.88518839548
0.81	580757	67338	0.30623036155	0.0620921451196	0.896098565797
0.82	507837	51358	0.26777999769	0.0473570404385	0.908157261778
0.85	430235	37794	0.22686083784	0.0348497212963	0.91924859357
0.86	426098	37171	0.224679417718	0.034275255075	0.919763679417
0.87	420982	36349	0.221981775624	0.0335172916177	0.920519273786
0.88	352511	27050	0.185877347979	0.0249427147448	0.928733457863
0.89	272184	17642	0.143521308789	0.0162676293356	0.939128994638
0.9	180461	8014	0.0951562138308	0.00738968266043	0.957479771853
0.92	101654	2366	0.0536016632999	0.00218168070559	0.977254374159
0.93	94084	1980	0.0496100388564	0.00182575139352	0.979388740839
0.95	0	0	0.0	0.0	1.0
