feature	importance
recency_x	0.21673181692
visit_freq_61_120d_x	0.108269448848
tenure_days_x	0.0710635089829
frequency_t12m_x	0.0664145146098
visit_recency_x	0.0610189649512
local_orders_t24m_x	0.0533949391896
unique_purchase_quarters_t24m_x	0.0486417815208
visit_freq_121_180d_x	0.0383679683997
visit_freq_29_60d_x	0.0364474277822
open_recency_x	0.0333493840464
retail_inv_csi_x	0.0253050971883
frequency_t24m_x	0.0224430731868
visit_freq_15_28d_x	0.0197308363119
visit_freq_181_365d_x	0.0178844441013
sends_7d_x	0.0136156075028
visit_freq_7d_x	0.0127280648003
visit_freq_8_14d_x	0.00925808053552
gp_t12m_x	0.00859398100233
click_recency_x	0.00849550037148
is_reactivation_x	0.00751265749946
nob_t12m_x	0.0065322565755
nob_t24m_x	0.00595971577434
most_recent_l2_cat_x_L2_Things_to_Do_Live	0.00594342754211
shopping_orders_t24m_x	0.00562331999982
email_contactable_x	0.00512357792305
most_recent_l2_cat_x_L2_Tech_Toys	0.00505845175299
gp_t24m_x	0.00498505156659
sends_30d_x	0.00479522014975
send_recency_x	0.00412383911828
most_recent_l1_cat_x_L1_Shopping	0.00362523863778
most_recent_l2_cat_x_L2_Home	0.00325335263752
hbw_inv_csi_x	0.00288626143021
recency_9block_cat_x_1_High_Rec_0_30_Days_	0.00275834631367
hna_inv_csi_x	0.00258558107209
uniq_3day_opens_30d_x	0.0025811129448
ttd_inv_csi_x	0.00249341774655
is_activation_x	0.00239238855469
uniq_3day_clicks_30d_x	0.00233492703215
fnd_inv_csi_x	0.002062984075
most_recent_l2_cat_x_L2_Things_to_Do_Leisure	0.00205490666215
app_orders_t24m_x	0.00173927322669
most_recent_l2_cat_x_L2_Tour	0.00166916701143
web_orders_t24m_x	0.00137879439455
most_recent_l1_cat_x_L1_Local	0.00126714495073
mobile_contactable_x	0.00124113586867
appengaged_flag90d_x	0.000908196261904
unsubscription_30d_x	0.000822970056695
frequency_9block_cat_x_1_Low_Freq_1_Order_	0.000790567640747
uniq_3day_opens_7d_x	0.000537194210051
webengaged_flag90d_x	0.000474699985652
touchengaged_flag90d_x	0.000460036485929
most_recent_l2_cat_x_L2_Health_Beauty_Wellness	0.000256224001507
total_inv_csi_x	0.000242749913904
touch_orders_t24m_x	0.000175661761703
most_recent_l2_cat_x_L2_Softlines	0.000104225980055
age_x	7.88846464773e-05
most_recent_l2_cat_x_L2_Hardlines	6.26663389919e-05
travel_orders_t24m_x	0.0
uniq_3day_clicks_7d_x	0.0
charity_inv_csi_x	0.0
student_flag_x	0.0
select_flag_x	0.0
gplus_flag_x	0.0
recency_9block_cat_x_3_Low_Rec_121_365_Days_	0.0
recency_9block_cat_x_2_Med_Rec_31_120_Days_	0.0
frequency_9block_cat_x_2_Med_Freq_2_4_Orders_	0.0
frequency_9block_cat_x_3_High_Freq_5_Orders_	0.0
most_recent_l1_cat_x_L1_Travel	0.0
most_recent_l1_cat_x_other	0.0
most_recent_l2_cat_x_L2_Retail	0.0
most_recent_l2_cat_x_L2_Food_Drink	0.0
most_recent_l2_cat_x_L2_Health_Beauty_Grocery	0.0
most_recent_l2_cat_x_L2_Home_Auto	0.0
most_recent_l2_cat_x_L2_Hotel	0.0
most_recent_l2_cat_x_Other	0.0
most_recent_promo_type_cat_x_Organic	0.0
most_recent_platform_cat_x_app	0.0
most_recent_platform_cat_x_web	0.0
most_recent_platform_cat_x_touch	0.0
most_recent_platform_cat_x_other	0.0
gender_cat_x_F	0.0
gender_cat_x_U	0.0
gender_cat_x_M	0.0
marital_status_cat_x_1M	0.0
