feature	importance
recency_x	0.114391436022
unique_purchase_quarters_t24m_x	0.106872983386
recency_9block_cat_x_3_Low_Rec_121_365_Days_	0.0959296839991
most_recent_l1_cat_x_L1_Local	0.0930065978344
frequency_t24m_x	0.0825227931809
frequency_t12m_x	0.070605488315
visit_recency_x	0.0618580970447
local_orders_t24m_x	0.047798644197
visit_freq_29_60d_x	0.0383726584971
visit_freq_15_28d_x	0.0287098931915
visit_freq_61_120d_x	0.0282847631791
most_recent_l1_cat_x_L1_Shopping	0.0230519295756
recency_9block_cat_x_1_High_Rec_0_30_Days_	0.0213192112486
nob_t24m_x	0.0204731184746
gp_t24m_x	0.0202338481367
appengaged_flag90d_x	0.0189142021
nob_t12m_x	0.0169200520563
visit_freq_121_180d_x	0.014234305379
app_orders_t24m_x	0.0111104196411
visit_freq_8_14d_x	0.0101399212372
gp_t12m_x	0.0095834469572
tenure_days_x	0.00814133350734
recency_9block_cat_x_2_Med_Rec_31_120_Days_	0.00806924538036
is_activation_x	0.00774239194088
frequency_9block_cat_x_1_Low_Freq_1_Order_	0.00732793897125
visit_freq_181_365d_x	0.00617184897546
visit_freq_7d_x	0.00469970564705
shopping_orders_t24m_x	0.00324214564661
click_recency_x	0.00294627607935
uniq_3day_clicks_30d_x	0.00266409972275
webengaged_flag90d_x	0.00201311769341
uniq_3day_opens_30d_x	0.00191480787163
open_recency_x	0.00185320019135
web_orders_t24m_x	0.00154904249546
sends_30d_x	0.00141110872293
sends_7d_x	0.00129366974464
uniq_3day_opens_7d_x	0.00105398295065
touchengaged_flag90d_x	0.000760015759901
is_reactivation_x	0.000566617714614
touch_orders_t24m_x	0.000470775923668
uniq_3day_clicks_7d_x	0.000420655547309
gplus_flag_x	0.000287661457964
send_recency_x	0.000238498955408
email_contactable_x	9.08369612722e-05
mobile_contactable_x	6.61670650123e-05
most_recent_l2_cat_x_L2_Things_to_Do_Leisure	4.51335597836e-05
most_recent_l2_cat_x_L2_Health_Beauty_Wellness	3.46864703026e-05
travel_orders_t24m_x	2.89270477978e-05
age_x	1.33345323861e-05
unsubscription_30d_x	5.4783243381e-06
retail_inv_csi_x	4.53770568556e-06
most_recent_l2_cat_x_L2_Softlines	3.34364460157e-06
total_inv_csi_x	2.84088742868e-06
hbw_inv_csi_x	2.0011659908e-06
most_recent_l2_cat_x_L2_Things_to_Do_Live	1.85952602702e-06
most_recent_l2_cat_x_L2_Retail	9.11613351839e-07
ttd_inv_csi_x	8.34188820423e-07
most_recent_l2_cat_x_L2_Tour	7.76493465696e-07
fnd_inv_csi_x	7.21306375794e-07
hna_inv_csi_x	3.99360309685e-07
most_recent_l2_cat_x_Other	2.08853823721e-07
most_recent_l2_cat_x_L2_Hardlines	1.57443806324e-07
most_recent_l2_cat_x_L2_Tech_Toys	1.45952369005e-07
most_recent_l2_cat_x_L2_Hotel	5.82311308857e-08
charity_inv_csi_x	0.0
student_flag_x	0.0
select_flag_x	0.0
frequency_9block_cat_x_2_Med_Freq_2_4_Orders_	0.0
frequency_9block_cat_x_3_High_Freq_5_Orders_	0.0
most_recent_l1_cat_x_L1_Travel	0.0
most_recent_l1_cat_x_other	0.0
most_recent_l2_cat_x_L2_Food_Drink	0.0
most_recent_l2_cat_x_L2_Health_Beauty_Grocery	0.0
most_recent_l2_cat_x_L2_Home_Auto	0.0
most_recent_l2_cat_x_L2_Home	0.0
most_recent_promo_type_cat_x_Organic	0.0
most_recent_platform_cat_x_app	0.0
most_recent_platform_cat_x_web	0.0
most_recent_platform_cat_x_touch	0.0
most_recent_platform_cat_x_other	0.0
gender_cat_x_F	0.0
gender_cat_x_U	0.0
gender_cat_x_M	0.0
marital_status_cat_x_1M	0.0
