cutoff	tp	fp	tpr	fpr	precision
0.0	1896471	1084485	1.0	1.0	0.636195569475
0.18	1896458	1082489	0.999993145163	0.99815949506	0.636620255412
0.19	1896087	1065353	0.999797518654	0.982358446636	0.640258455346
0.2	1894842	1037360	0.999141036167	0.956546194738	0.646218098207
0.21	1892624	1006509	0.997971495478	0.928098590575	0.652824137423
0.22	1889415	976313	0.996279405274	0.900254959727	0.659314142864
0.23	1885669	948283	0.994304157564	0.874408590253	0.665384946534
0.24	1881157	922015	0.991925001753	0.850186955099	0.671081546191
0.25	1876297	897454	0.989362347223	0.827539338949	0.676447525391
0.26	1870903	874528	0.986518117071	0.806399350844	0.681460579414
0.27	1865217	852402	0.98351991673	0.78599704007	0.686342346002
0.28	1859054	830783	0.980270196591	0.766062232304	0.691140020752
0.29	1852576	809656	0.976854378475	0.746581096096	0.695873237193
0.3	1845820	789592	0.9732919723	0.728080148642	0.700391437847
0.31	1838784	770544	0.969581923478	0.710516051398	0.704696381597
0.32	1831543	752319	0.965763779146	0.693710839707	0.708839326558
0.33	1824236	735534	0.961910833332	0.678233447212	0.712656215207
0.34	1817084	719854	0.95813961827	0.66377497153	0.716250850435
0.35	1810050	705413	0.954430624038	0.650458973614	0.719569319843
0.36	1803262	692465	0.950851344418	0.638519666017	0.722539764966
0.37	1796617	680221	0.947347468008	0.62722951447	0.725367181867
0.38	1790278	668945	0.94400494392	0.616831952494	0.727985221348
0.39	1784042	658058	0.940716731234	0.606793086119	0.730536014086
0.4	1777810	647541	0.937430627729	0.59709539551	0.733011428037
0.41	1771449	637022	0.934076503147	0.587395860708	0.73550771423
0.42	1764903	626401	0.930624828959	0.577602272046	0.738050452807
0.43	1757958	615510	0.926962763997	0.567559717285	0.740670613634
0.44	1750639	604349	0.923103490641	0.557268196425	0.743374913163
0.45	1742935	592828	0.919041208645	0.546644720766	0.746195140517
0.46	1734678	581102	0.914687332419	0.535832215291	0.749068564371
0.47	1726057	569130	0.910141520751	0.524792874037	0.752033276591
0.48	1716905	556905	0.905315715347	0.513520242327	0.755078480612
0.49	1707098	544284	0.900144531606	0.501882460338	0.758244491606
0.5	1697000	531884	0.894819904971	0.490448461712	0.761367572292
0.51	1686211	519283	0.889130917372	0.478829121657	0.764550254954
0.52	1675092	506323	0.883267922367	0.466878748899	0.767892400116
0.53	1663252	493480	0.877024747544	0.455036261451	0.771190857279
0.54	1650863	480533	0.870492087672	0.44309787595	0.774545415305
0.55	1637637	467332	0.863518081742	0.430925277897	0.777986279133
0.56	1624003	454085	0.856328939383	0.418710263397	0.78148904185
0.57	1609202	440500	0.848524443559	0.406183580225	0.785090710747
0.58	1593368	427082	0.840175251823	0.393810887195	0.788620356851
0.59	1576703	413495	0.8313878778	0.38128235983	0.79223424001
0.6	1559619	400152	0.822379567101	0.36897882405	0.795816960247
0.61	1541676	387145	0.81291830985	0.356985112749	0.79928412227
0.62	1523025	374053	0.803083727618	0.344913023232	0.802826768325
0.63	1503875	361518	0.792986025096	0.333354541557	0.806197407195
0.64	1483708	348678	0.782352063385	0.321514820399	0.809713673866
0.65	1462322	335446	0.771075328861	0.309313637349	0.813409739188
0.66	1439568	321920	0.759077254543	0.29684135788	0.817245419781
0.67	1415270	308172	0.746265036481	0.284164372951	0.82118806435
0.68	1389677	294038	0.732769971173	0.271131458711	0.825363556184
0.69	1361657	278883	0.717995160485	0.257157083777	0.830005364087
0.7	1330182	262567	0.701398544982	0.242112154617	0.835148538784
0.71	1292723	244082	0.681646595176	0.225067197794	0.84117568592
0.72	1248394	223978	0.658272127546	0.206529366473	0.847879476111
0.73	1198890	203400	0.632168907407	0.187554461334	0.854951543547
0.74	1147279	184235	0.604954676344	0.16988247878	0.86163495089
0.75	1086809	164296	0.573069137361	0.151496793409	0.86867928751
0.76	1019961	144308	0.537820509778	0.133065925301	0.876052699161
0.77	951000	126041	0.5014577075	0.116221985551	0.882974742837
0.78	875095	107575	0.461433367555	0.0991945485645	0.890527847599
0.79	796963	89428	0.420234741264	0.0824612604139	0.899109986451
0.8	711335	72684	0.375083510373	0.0670216738821	0.907293063051
0.81	627080	57935	0.330656255751	0.0534216701937	0.915425209667
0.82	535655	43640	0.282448294754	0.0402402983905	0.924667052193
0.83	418912	27926	0.220890274621	0.0257504714219	0.937503077178
0.84	316844	18695	0.16707031112	0.0172385971221	0.944283674923
0.85	179438	7184	0.094616790871	0.00662434242982	0.961505074429
0.86	0	0	0.0	0.0	1.0
