feature	importance
visit_recency_x	0.277928243405
recency_x	0.219273260421
retail_inv_csi_x	0.0469777874086
open_recency_x	0.0285898470544
visit_freq_61_120d_x	0.0272737365135
gender_cat_x_M	0.0272447004112
visit_freq_29_60d_x	0.0236684675392
most_recent_l2_cat_x_L2_Home	0.0219889569087
recency_9block_cat_x_3_Low_Rec_121_365_Days_	0.0200121979616
tenure_days_x	0.0196535340452
visit_freq_15_28d_x	0.0167409994038
visit_freq_8_14d_x	0.0166076954029
visit_freq_181_365d_x	0.0163259394182
frequency_9block_cat_x_3_High_Freq_5_Orders_	0.015736756876
total_inv_csi_x	0.0139734951788
ttd_inv_csi_x	0.0136878525779
visit_freq_121_180d_x	0.0133037197365
sends_7d_x	0.012739214078
most_recent_l2_cat_x_L2_Hotel	0.0126337757107
mobile_contactable_x	0.0089555042886
gender_cat_x_F	0.00894464285382
uniq_3day_opens_30d_x	0.00832471372162
hbw_inv_csi_x	0.00812721802969
marital_status_cat_x_1M	0.00809168093001
nob_t12m_x	0.00710097584974
fnd_inv_csi_x	0.00709791094972
local_orders_t24m_x	0.00665809767271
frequency_t24m_x	0.00664255734659
nob_t24m_x	0.00621901101639
age_x	0.00587305399917
hna_inv_csi_x	0.00511454214886
gp_t12m_x	0.0049842338619
visit_freq_7d_x	0.00484194747809
most_recent_l2_cat_x_L2_Things_to_Do_Leisure	0.00407840559628
gp_t24m_x	0.00329772572986
unique_purchase_quarters_t24m_x	0.00232426893358
click_recency_x	0.00222632873893
appengaged_flag90d_x	0.00208418137749
email_contactable_x	0.0017283332183
sends_30d_x	0.00146554675491
uniq_3day_opens_7d_x	0.00136613197534
send_recency_x	0.00124983316114
app_orders_t24m_x	0.00118455324337
webengaged_flag90d_x	0.00103694346459
gplus_flag_x	0.000980396109019
most_recent_l2_cat_x_L2_Health_Beauty_Wellness	0.000643054002169
web_orders_t24m_x	0.000582703023325
uniq_3day_clicks_7d_x	0.000554879046084
recency_9block_cat_x_1_High_Rec_0_30_Days_	0.000513207005089
shopping_orders_t24m_x	0.000496947575408
most_recent_l2_cat_x_L2_Tour	0.0004038140067
most_recent_l2_cat_x_L2_Softlines	0.000388986856494
most_recent_platform_cat_x_other	0.000315944130221
gender_cat_x_U	0.000252399060611
most_recent_l2_cat_x_L2_Health_Beauty_Grocery	0.000204749861997
most_recent_l2_cat_x_L2_Things_to_Do_Live	0.000143865051071
touch_orders_t24m_x	5.12448425068e-05
frequency_t12m_x	0.0
travel_orders_t24m_x	0.0
is_reactivation_x	0.0
touchengaged_flag90d_x	0.0
uniq_3day_clicks_30d_x	0.0
unsubscription_30d_x	0.0
charity_inv_csi_x	0.0
student_flag_x	0.0
select_flag_x	0.0
recency_9block_cat_x_2_Med_Rec_31_120_Days_	0.0
frequency_9block_cat_x_1_Low_Freq_1_Order_	0.0
frequency_9block_cat_x_2_Med_Freq_2_4_Orders_	0.0
most_recent_l1_cat_x_L1_Local	0.0
most_recent_l1_cat_x_L1_Shopping	0.0
most_recent_l1_cat_x_L1_Travel	0.0
most_recent_l1_cat_x_other	0.0
most_recent_l2_cat_x_L2_Retail	0.0
most_recent_l2_cat_x_L2_Food_Drink	0.0
most_recent_l2_cat_x_L2_Home_Auto	0.0
most_recent_l2_cat_x_L2_Tech_Toys	0.0
most_recent_l2_cat_x_Other	0.0
most_recent_l2_cat_x_L2_Hardlines	0.0
most_recent_promo_type_cat_x_NO_DISCOUNT	0.0
most_recent_promo_type_cat_x_ILS	0.0
most_recent_promo_type_cat_x_OD	0.0
most_recent_promo_type_cat_x_WOW	0.0
most_recent_promo_type_cat_x_Organic	0.0
most_recent_platform_cat_x_touch	0.0
most_recent_platform_cat_x_app	0.0
most_recent_platform_cat_x_web	0.0
